INICIAIS	SERIE	PAC	CIS	MIO	AR	CC	EP	TEP	Autoconfianca	Acuracia	DadosRelevantes	Resumo	Diferencial	HPJustificativa	HP	Conduta	SinaisSintomas	Fisiopatologia
FFS	1	0,83	0,92	0,83	0,33	0,50	1,00	1,00	0,457	0,738	0,83	0,90	1,00	1,00	0,75	0,54	0,50	1,00
SGS	1	0,75	0,75	0,67	0,67	0,25	0,40	1,00	0,514	0,613	0,50	0,90	0,90	0,70	0,50	0,50	0,50	0,75
NSL	1	0,58	0,50	0,50	0,42	0,42	0,50	0,60	0,486	0,500	0,67	0,80	1,00	0,50	0,25	0,21	0,38	0,75
BO	1	0,42	0,83	0,50	0,58	0,50	0,50	0,50	0,400	0,538	0,50	0,80	0,80	0,50	0,25	0,50	0,50	0,50
ASD	1	0,50	0,67	0,50	0,17	0,58	0,30	0,90	0,514	0,513	0,50	0,80	0,50	0,70	0,75	0,38	0,00	0,75
LSP	1	0,58	0,33	0,25	0,75	0,58	0,30	0,80	0,486	0,513	0,67	0,80	0,20	0,60	0,75	0,29	0,63	0,75
JVL	1	0,33	0,92	0,67	0,67	0,25	0,50	0,90	0,571	0,600	0,83	1,00	0,70	0,50	0,50	0,42	0,50	0,75
ITZ	1	0,92	0,92	0,92	0,58	0,83	0,50	0,40	0,629	0,713	0,67	1,00	1,00	0,50	0,50	0,88	0,50	0,25
EB	1	0,83	0,67	0,42	0,42	0,33	0,40	0,40	0,514	0,475	0,67	0,70	0,70	0,40	0,25	0,50	0,38	0,25
ACSR	1	0,58	0,67	0,42	0,25	0,25	0,20	0,20	0,400	0,363	0,50	0,70	0,60	0,30	0,00	0,29	0,38	0,25
GSG	1	0,50	0,83	0,67	0,00	0,75	0,50	0,30	0,543	0,513	0,83	0,90	0,90	0,30	0,25	0,42	0,25	0,25
HWA	1	0,58	0,50	0,42	0,42	0,25	0,30	0,70	0,543	0,438	0,50	1,00	0,40	0,30	0,50	0,29	0,25	0,75
GMB	1	0,75	0,83	0,33	0,67	0,50	0,70	1,00	0,686	0,650	0,50	1,00	0,70	0,80	0,75	0,58	0,38	0,75
IFM	1	0,33	0,67	0,42	0,42	0,42	0,30	0,70	0,543	0,463	1,00	0,80	0,30	0,40	0,50	0,46	0,00	0,25
ETG	1	0,67	0,67	0,42	0,33	0,42	0,40	1,00	0,600	0,525	0,50	0,80	0,90	0,50	0,25	0,46	0,38	0,75
GP2	1	0,42	0,83	0,58	0,75	0,25	0,50	0,30	0,543	0,525	0,50	0,90	1,00	0,30	0,25	0,42	0,50	0,25
CC	1	0,42	0,58	0,33	0,25	0,08	0,50	0,30	0,543	0,350	0,67	1,00	0,40	0,30	0,25	0,13	0,13	0,25
JHB	1	0,83	0,58	0,58	0,58	0,33	0,50	0,30	0,629	0,513	0,50	0,90	0,80	0,30	0,25	0,54	0,50	0,25
GSR	1	0,58	0,58	0,42	0,58	0,33	0,40	0,80	0,543	0,513	0,50	0,90	0,50	0,50	0,50	0,46	0,25	0,75
AGSS	1	0,92	0,75	0,75	0,42	0,58	0,40	0,60	0,543	0,613	0,83	0,80	1,00	0,50	0,50	0,50	0,50	0,75
LS	1	0,33	0,42	0,50	0,33	0,42	0,90	0,30	0,600	0,450	0,50	0,90	0,90	0,20	0,25	0,21	0,63	0,25
EPC	2	0,83	0,83	0,75	0,42	0,92	0,20	1,00	0,400	0,688	0,67	0,70	0,80	0,50	0,50	0,79	0,88	0,75
SSF	2	0,75	0,67	0,83	0,75	0,75	0,50	0,40	0,486	0,650	0,67	0,90	0,80	0,50	0,50	0,75	0,50	0,50
ML	2	0,75	0,67	0,75	0,58	0,58	0,50	1,00	0,600	0,663	0,67	0,80	1,00	0,50	0,75	0,67	0,38	0,75
MEO	2	0,75	0,50	0,75	0,83	0,50	0,40	0,90	0,657	0,638	0,67	0,80	0,90	0,70	0,50	0,54	0,75	0,50
MRA	2	0,75	0,67	0,50	0,58	0,83	0,90	1,00	0,571	0,713	0,67	0,90	1,00	0,80	1,00	0,54	0,50	0,75
VAS	2	0,33	0,50	0,67	0,50	0,50	0,50	0,90	0,657	0,550	0,50	0,80	0,70	0,30	0,50	0,58	0,25	0,75
JAF	2	0,67	0,83	0,75	0,08	0,67	0,50	0,40	0,571	0,538	0,50	0,90	0,90	0,60	0,25	0,50	0,38	0,25
GAT	2	0,67	0,58	0,75	0,42	0,33	0,50	0,50	0,571	0,513	0,67	0,80	0,80	0,50	0,00	0,50	0,38	0,75
LSH	2	0,50	0,50	0,58	0,83	0,42	0,50	0,90	0,657	0,588	0,83	0,80	1,00	0,30	0,50	0,42	0,63	0,75
PLC	2	0,50	0,67	0,83	0,50	0,50	0,50	0,20	0,457	0,513	0,67	0,80	0,70	0,00	0,00	0,79	0,50	0,25
ARB	2	0,33	1,00	0,58	0,83	0,50	0,50	0,90	0,543	0,663	1,00	1,00	0,60	0,50	0,50	0,58	0,63	0,75
GBS	2	0,75	0,75	0,42	0,83	0,67	0,40	0,90	0,600	0,650	0,50	0,70	0,80	0,50	0,75	0,75	0,50	0,75
LFP	2	0,92	0,75	0,83	0,58	0,42	0,50	0,30	0,771	0,600	0,83	1,00	0,90	0,40	0,50	0,67	0,13	0,25
JVCD	2	0,42	0,92	0,50	0,58	0,67	0,50	1,00	0,771	0,650	0,67	0,90	1,00	0,40	0,75	0,54	0,38	0,75
MSS	2	0,50	0,83	0,92	0,58	0,33	0,50	0,40	0,743	0,563	0,67	0,80	1,00	0,30	0,25	0,67	0,38	0,25
ASJ	2	0,75	0,83	0,33	0,33	0,58	0,40	0,30	0,571	0,488	0,83	0,80	0,60	0,10	0,00	0,63	0,50	0,50
AAM	2	0,42	0,67	0,42	0,42	0,50	0,50	0,80	0,600	0,525	0,67	0,80	0,50	0,70	0,25	0,42	0,38	0,75
JVS	2	0,92	0,67	0,58	0,75	0,58	0,40	1,00	0,771	0,675	0,67	0,80	1,00	0,60	0,75	0,58	0,63	0,75
ICM	2	0,92	0,75	0,67	0,75	0,58	0,50	0,60	0,714	0,663	0,83	0,90	1,00	0,40	0,25	0,75	0,50	0,75
NSRS	2	0,50	0,67	0,67	0,83	0,75	0,50	1,00	0,743	0,700	0,83	0,70	0,90	0,60	0,75	0,58	0,63	1,00
MCS	2	0,67	0,75	0,67	0,83	0,67	0,50	1,00	0,686	0,713	0,83	0,80	1,00	0,60	0,75	0,58	0,75	0,75
AKN	2	0,67	0,67	0,75	0,67	0,67	0,50	0,90	0,714	0,663	0,33	0,80	0,70	0,70	0,75	0,71	0,63	0,75
LHH	2	0,67	0,83	0,42	0,83	0,33	0,50	1,00	0,743	0,625	0,50	0,70	1,00	0,70	0,50	0,58	0,50	0,75
ESS	2	0,92	0,92	0,67	0,75	0,67	0,40	0,90	0,657	0,725	0,83	0,90	0,60	0,80	0,75	0,79	0,50	0,75
MCS1	2	0,83	0,83	0,42	0,58	0,33	0,50	0,50	0,514	0,550	0,83	1,00	1,00	0,40	0,25	0,42	0,38	0,50
JDF	2	0,50	0,58	0,08	0,75	0,33	0,50	0,40	0,486	0,450	0,50	0,90	0,10	0,30	0,75	0,38	0,50	0,25
ICS	2	0,75	0,58	0,33	0,83	0,33	0,40	0,40	0,657	0,500	0,67	0,60	0,70	0,50	0,25	0,58	0,38	0,25
RFGH	2	0,42	0,67	1,00	0,50	0,50	0,50	0,90	0,686	0,600	0,67	0,80	0,90	0,50	0,75	0,46	0,25	0,75
ALS	2	0,92	1,00	0,83	0,83	0,67	0,50	1,00	0,600	0,800	1,00	1,00	1,00	0,70	0,75	0,79	0,63	0,75
TY	2	0,50	0,67	0,58	0,58	0,58	0,40	0,40	0,600	0,513	0,33	1,00	0,60	0,30	0,50	0,54	0,50	0,25
RHL	2	0,42	0,83	0,67	0,75	0,83	0,40	1,00	0,686	0,700	0,83	0,80	0,80	0,40	0,75	0,75	0,50	0,75
LDA	2	0,50	0,58	0,33	0,25	0,25	0,30	0,30	0,457	0,338	0,67	0,70	0,30	0,30	0,00	0,42	0,13	0,25
EG	2	0,67	0,83	0,67	0,67	0,58	0,50	0,40	0,714	0,600	0,83	0,90	1,00	0,40	0,50	0,54	0,50	0,25
VF	3	0,83	1,00	0,58	1,00	0,50	0,50	1,00	0,743	0,825	1,00	1,00	1,00	0,60	0,75	0,79	1,00	0,75
JEHL	3	0,75	0,92	0,67	0,58	0,92	0,50	0,40	0,743	0,675	0,83	1,00	1,00	0,40	0,25	0,71	0,75	0,25
KACV	3	0,67	0,92	0,58	0,92	0,42	0,40	1,00	0,657	0,700	0,83	0,90	0,90	0,70	0,50	0,54	0,75	0,75
MSP	3	0,92	0,75	0,67	0,83	0,83	0,40	1,00	0,629	0,750	0,83	0,90	0,90	0,50	0,75	0,79	0,75	0,75
CS	3	0,92	0,92	0,75	0,92	0,83	0,90	1,00	0,743	0,863	1,00	1,00	1,00	0,80	1,00	0,83	0,75	0,75
JPAS	3	0,42	0,83	0,67	0,75	0,83	0,80	1,00	0,686	0,750	1,00	1,00	0,90	0,50	1,00	0,58	0,63	0,75
MAS	3	1,00	1,00	0,92	0,83	0,42	0,90	1,00	0,657	0,838	1,00	1,00	1,00	1,00	0,75	0,75	0,75	0,75
LB	3	0,67	0,75	0,75	0,92	0,50	0,50	1,00	0,600	0,725	1,00	1,00	1,00	0,40	0,75	0,67	0,63	0,75
JSA	3	0,67	1,00	0,67	0,83	0,50	1,00	0,40	0,771	0,725	1,00	1,00	1,00	0,60	0,50	0,58	0,75	0,50
HMS	3	0,83	1,00	0,75	0,75	0,92	0,50	1,00	0,743	0,800	1,00	1,00	1,00	0,70	0,75	0,75	0,75	0,75
LP	3	0,92	0,92	0,33	0,92	0,83	0,70	0,80	0,514	0,750	0,67	0,80	0,60	0,80	1,00	0,79	0,75	0,75
FAI	3	0,67	0,83	0,33	0,25	0,50	0,50	0,90	0,600	0,550	0,67	0,80	1,00	0,50	0,25	0,46	0,38	0,50
CFBC	3	0,83	0,92	0,75	0,50	0,75	0,50	1,00	0,714	0,725	1,00	1,00	1,00	0,60	0,75	0,54	0,75	0,75
BSV	3	0,67	1,00	0,58	0,75	0,75	0,80	1,00	0,686	0,763	0,83	0,90	0,80	0,90	1,00	0,67	0,50	1,00
YCL	3	0,67	0,58	0,50	0,58	0,33	0,50	0,40	0,657	0,488	0,17	0,70	0,90	0,40	0,00	0,58	0,63	0,25
GASC	3	0,75	0,92	0,67	0,83	0,50	0,50	1,00	0,800	0,725	0,83	1,00	1,00	0,60	0,50	0,63	0,75	0,75
FS	3	0,67	1,00	0,67	0,75	0,67	0,50	1,00	0,657	0,750	1,00	1,00	1,00	0,60	0,50	0,67	0,63	0,75
PDG	3	0,83	0,83	0,67	0,75	0,83	0,50	1,00	0,629	0,750	0,67	0,80	1,00	0,70	0,75	0,79	0,63	0,75
GMR	3	0,83	0,75	0,50	0,67	0,33	0,40	0,50	0,600	0,550	0,67	0,90	0,90	0,30	0,25	0,58	0,38	0,50
FMM	3	0,67	0,67	0,75	0,75	0,58	0,50	0,40	0,629	0,600	0,83	0,90	0,90	0,40	0,50	0,63	0,38	0,25
CHATGPT_4	4	1,00	1,00	1,00	0,83	0,83	0,50	1,00	0,886	0,863	1,00	1,00	1,00	0,80	0,75	0,88	0,88	0,75
GEMINI_2_5	4	1,00	1,00	0,92	0,92	0,83	1,00	1,00	1,000	0,925	1,00	1,00	1,00	0,90	1,00	0,96	0,75	1,00
CLAUDE_4	4	1,00	1,00	0,92	0,92	0,75	1,00	1,00	0,914	0,913	0,83	1,00	1,00	1,00	1,00	0,88	0,88	1,00
GROK_3	4	0,83	0,92	0,92	0,83	0,92	1,00	1,00	0,800	0,888	1,00	0,70	1,00	1,00	1,00	0,88	0,88	1,00
DEEPSEEK	4	1,00	1,00	0,92	0,83	0,67	1,00	1,00	1,000	0,888	0,83	1,00	1,00	1,00	1,00	0,83	0,75	1,00
TCG	0	0,33	0,58	0,42	0,00	0,00	0,20	0,20	0,286	0,250	0,67	0,50	0,30	0,20	0,50	0,08	0,00	0,00
GS	0	0,25	0,42	0,17	0,50	0,08	0,20	0,50	0,629	0,300	0,50	0,60	0,10	0,10	0,25	0,29	0,13	0,75
AF	0	0,42	0,33	0,25	0,50	0,50	0,30	0,30	0,400	0,350	0,50	0,50	0,40	0,00	0,25	0,50	0,38	0,25
ANS	0	0,25	0,67	0,17	0,25	0,50	0,40	0,40	0,457	0,375	0,33	0,80	0,60	0,10	0,00	0,38	0,25	0,50
BLM	0	0,67	0,67	0,58	0,58	0,33	0,50	0,40	0,514	0,513	0,83	0,90	0,80	0,40	0,25	0,42	0,50	0,25
DPM	0	0,00	0,08	0,00	0,42	0,50	0,20	0,20	0,314	0,200	0,17	0,00	0,10	0,10	0,00	0,25	0,63	0,50
DYN	0	0,67	0,33	0,58	0,33	0,08	0,40	0,40	0,629	0,375	0,67	0,90	0,60	0,30	0,00	0,29	0,25	0,25
LLM	0	0,58	0,58	0,25	0,25	0,25	0,30	0,90	0,571	0,413	0,33	0,70	0,50	0,50	0,50	0,33	0,13	0,75
YCO	0	0,58	0,42	0,25	0,08	0,58	0,40	0,50	0,200	0,375	0,50	0,70	0,20	0,40	0,25	0,42	0,38	0,25
EC	0	0,42	0,67	0,42	0,42	0,42	0,50	0,80	0,629	0,513	0,50	0,80	1,00	0,20	0,50	0,33	0,50	0,50
AGG	0	0,75	0,58	0,50	0,25	0,25	0,40	0,70	0,257	0,475	0,83	1,00	0,50	0,60	0,50	0,25	0,13	0,50
IBM	0	0,58	0,58	0,33	0,42	0,50	0,40	0,30	0,543	0,450	0,83	0,70	0,70	0,20	0,50	0,33	0,25	0,25
BCL	0	0,67	0,75	0,92	0,33	0,25	0,50	1,00	0,629	0,600	0,67	0,90	1,00	0,60	0,25	0,54	0,38	0,75
JFGM	0	0,50	0,50	0,42	0,50	0,42	0,20	0,10	0,457	0,388	0,83	0,60	0,50	0,20	0,25	0,21	0,63	0,25
CCB	0	0,75	0,50	0,75	0,50	0,75	0,50	0,30	0,657	0,563	0,67	0,70	0,70	0,50	0,50	0,54	0,63	0,50
HDLQ	0	0,17	0,58	0,42	0,08	0,08	0,20	0,50	0,429	0,288	0,67	0,80	0,00	0,20	0,25	0,17	0,13	0,50
MSF	0	0,25	0,25	0,25	0,00	0,58	0,30	0,20	0,200	0,263	0,50	0,90	0,00	0,10	0,25	0,21	0,00	0,25
JFMS	0	0,83	0,58	0,42	0,25	0,42	0,20	0,30	0,257	0,413	0,83	0,80	0,60	0,20	0,00	0,46	0,13	0,50
BNBP	0	0,42	0,33	0,42	0,25	0,25	0,30	0,20	0,543	0,313	0,50	0,80	0,40	0,30	0,00	0,13	0,38	0,25
JGF	0	0,33	0,25	0,33	0,75	0,25	0,30	0,30	0,571	0,363	0,67	0,90	0,10	0,10	0,25	0,33	0,25	0,50
GWOT	0	0,50	0,67	0,42	0,33	0,25	0,40	0,50	0,543	0,425	0,50	0,80	0,80	0,30	0,25	0,25	0,38	0,50
HRV	0	0,50	0,67	0,25	0,67	0,25	0,30	0,10	0,457	0,388	0,50	0,70	0,20	0,50	0,25	0,42	0,25	0,25
ACV	0	0,08	0,42	0,58	0,17	0,50	0,20	0,60	0,400	0,363	0,50	0,60	0,00	0,40	0,25	0,38	0,38	0,50
IVRM	0	0,58	0,50	0,50	0,42	0,75	0,30	0,20	0,486	0,450	0,50	0,80	0,40	0,40	0,25	0,54	0,38	0,25
ER	0	0,83	0,58	0,58	0,08	0,42	0,60	0,60	0,571	0,500	0,67	1,00	0,80	0,50	0,00	0,33	0,38	1,00
IMR	0	0,75	0,67	0,75	0,17	0,33	0,50	0,30	0,543	0,475	0,83	0,90	0,80	0,40	0,00	0,46	0,25	0,25
PBM	0	0,08	0,25	0,25	0,00	0,25	0,10	0,10	0,371	0,150	0,33	0,60	0,00	0,10	0,00	0,00	0,38	0,00
PHRSS	0	0,33	0,25	0,25	0,17	0,42	0,50	0,50	0,286	0,313	0,50	0,60	0,20	0,00	0,50	0,29	0,38	0,50
CGLJ	0	0,42	0,25	0,33	0,42	0,42	0,40	0,20	0,314	0,350	0,50	0,60	0,60	0,20	0,25	0,21	0,38	0,25
APG	0	0,42	0,25	0,17	0,58	0,42	0,10	0,50	0,286	0,350	0,50	0,10	0,40	0,50	0,50	0,33	0,25	0,25
RB	0	0,25	0,58	0,25	0,67	0,58	0,60	0,10	0,314	0,438	0,33	0,70	0,70	0,20	0,25	0,42	0,50	0,25
MCRG	0	0,42	0,58	0,42	0,33	0,58	0,50	0,30	0,543	0,450	0,50	0,80	0,90	0,20	0,25	0,33	0,38	0,25
